id,first_name,last_name,type,state,district,party,twitter_handle,state_name,rep_name,district_name,total_loss,nonelderly_subtotal,medicaid_adults,medicaid_children,medicaid_disabled,medicid_expansion,medicaid_elderly,indiv_market
V000130,Juan,Vargas,rep,CA,51.0,Democrat,RepJuanVargas,California,Juan Vargas (CA-51),(CA-51),67900.0,48400.0,7600.0,15000.0,3000.0,22800.0,5900.0,19500.0
P000608,Scott,Peters,rep,CA,52.0,Democrat,RepScottPeters,California,Scott H. Peters (CA-52),(CA-52),30200.0,13800.0,1800.0,3600.0,700.0,7700.0,2300.0,16300.0
E000293,Elizabeth,Esty,rep,CT,5.0,Democrat,RepEsty,Connecticut,Elizabeth H. Esty (CT-5),(CT-5),42300.0,25100.0,6900.0,7800.0,900.0,9400.0,1800.0,17200.0
Y000065,Ted,Yoho,rep,FL,3.0,Republican,RepTedYoho,Florida,Ted S. Yoho (FL-3),(FL-3),66100.0,47400.0,2600.0,9300.0,1500.0,34000.0,1700.0,18700.0
D000621,Ron,DeSantis,rep,FL,6.0,Republican,RepDeSantis,Florida,Ron DeSantis (FL-6),(FL-6),71600.0,45500.0,2500.0,9100.0,1500.0,32400.0,2200.0,26000.0
F000462,Lois,Frankel,rep,FL,21.0,Democrat,RepLoisFrankel,Florida,Lois Frankel (FL-21),(FL-21),78100.0,41200.0,2300.0,8300.0,1300.0,29400.0,1900.0,36900.0
C001093,Doug,Collins,rep,GA,9.0,Republican,RepDougCollins,Georgia,Doug Collins (GA-9),(GA-9),68800.0,52200.0,2000.0,10700.0,1800.0,37700.0,2200.0,16600.0
G000571,Tulsi,Gabbard,rep,HI,2.0,Democrat,TulsiPress,Hawaii,Tulsi Gabbard (HI-2),(HI-2),35200.0,30500.0,5900.0,7700.0,1700.0,15200.0,1800.0,4700.0
D000622,Tammy,Duckworth,sen,IL,,Democrat,SenDuckworth,Illinois,,,654800.0,435500.0,84200.0,178500.0,22600.0,150400.0,41100.0,219500.0
D000619,Rodney,Davis,rep,IL,13.0,Republican,RodneyDavis,Illinois,Rodney Davis (IL-13),(IL-13),32500.0,23200.0,4600.0,9800.0,1200.0,7500.0,1900.0,9400.0
B001286,Cheri,Bustos,rep,IL,17.0,Democrat,RepCheri,Illinois,Cheri Bustos (IL-17),(IL-17),40200.0,29600.0,6000.0,12800.0,1600.0,9100.0,2900.0,10700.0
W000813,Jackie,Walorski,rep,IN,2.0,Republican,RepWalorski,Indiana,Jackie Walorski (IN-2),(IN-2),32700.0,26000.0,2800.0,9600.0,1700.0,11900.0,1900.0,6800.0
B001284,Susan,Brooks,rep,IN,5.0,Republican,SusanWBrooks,Indiana,Susan W. Brooks (IN-5),(IN-5),24200.0,16300.0,1800.0,6200.0,1100.0,7200.0,1500.0,7900.0
M001189,Luke,Messer,rep,IN,6.0,Republican,RepLukeMesser,Indiana,Luke Messer (IN-6),(IN-6),28900.0,22900.0,2700.0,9100.0,1600.0,9400.0,2300.0,6100.0
B001282,Garland,Barr,rep,KY,6.0,Republican,RepAndyBarr,Kentucky,Andy Barr (KY-6),(KY-6),38300.0,32200.0,2200.0,9300.0,2700.0,17900.0,2300.0,6200.0
W000817,Elizabeth,Warren,sen,MA,,Democrat,SenWarren,Massachusetts,,,285300.0,259800.0,64100.0,65500.0,40900.0,89500.0,37200.0,25200.0
K000379,Joseph,Kennedy,rep,MA,4.0,Democrat,RepJoeKennedy,Massachusetts,"Joseph P. Kennedy, III (MA-4)",(MA-4),20300.0,17500.0,4300.0,4400.0,2700.0,6100.0,3200.0,2800.0
D000620,John,Delaney,rep,MD,6.0,Democrat,RepJohnDelaney,Maryland,John K. Delaney (MD-6),(MD-6),27700.0,18600.0,4500.0,7200.0,1200.0,5700.0,1600.0,9100.0
K000383,Angus,King,sen,ME,,Independent,SenAngusKing,Maine,,,117900.0,62400.0,12400.0,16900.0,5100.0,28100.0,6400.0,55400.0
K000380,Daniel,Kildee,rep,MI,5.0,Democrat,RepDanKildee,Michigan,Daniel T. Kildee (MI-5),(MI-5),40600.0,34500.0,5500.0,15400.0,3300.0,10300.0,2500.0,6100.0
N000127,Richard,Nolan,rep,MN,8.0,Democrat,USRepRickNolan,Minnesota,Richard M. Nolan (MN-8),(MN-8),29600.0,18700.0,5300.0,6900.0,1400.0,5200.0,2600.0,10800.0
W000812,Ann,Wagner,rep,MO,2.0,Republican,RepAnnWagner,Missouri,Ann Wagner (MO-2),(MO-2),37500.0,13800.0,600.0,3300.0,700.0,9200.0,1200.0,23700.0
D000618,Steve,Daines,sen,MT,,Republican,SteveDaines,Montana,,,81100.0,28500.0,2600.0,13000.0,2300.0,10600.0,1900.0,52700.0
H001067,Richard,Hudson,rep,NC,8.0,Republican,RepRichHudson,North Carolina,Richard Hudson (NC-8),(NC-8),95000.0,48300.0,2300.0,11600.0,2300.0,32000.0,2300.0,46700.0
P000606,Robert,Pittenger,rep,NC,9.0,Republican,RepPittenger,North Carolina,Robert Pittenger (NC-9),(NC-9),110000.0,53400.0,2600.0,13000.0,2600.0,35100.0,2400.0,56600.0
M001187,Mark,Meadows,rep,NC,11.0,Republican,RepMarkMeadows,North Carolina,Mark Meadows (NC-11),(NC-11),107800.0,49900.0,2300.0,11500.0,2300.0,33800.0,3000.0,57900.0
H001065,George,Holding,rep,NC,2.0,Republican,RepHolding,North Carolina,George Holding (NC-2),(NC-2),97400.0,44800.0,2100.0,10600.0,2100.0,29900.0,2200.0,52600.0
H001069,Heidi,Heitkamp,sen,ND,,Democrat,SenatorHeitkamp,North Dakota,,,25100.0,12600.0,1600.0,5600.0,900.0,4400.0,1400.0,12500.0
C001096,Kevin,Cramer,rep,ND,0.0,Republican,RepKevinCramer,North Dakota,Kevin Cramer (ND-AL),(ND-AL),25100.0,12600.0,1600.0,5600.0,900.0,4400.0,1400.0,12500.0
F000463,Deb,Fischer,sen,NE,,Republican,SenatorFischer,Nebraska,,,173100.0,81200.0,4800.0,20000.0,3700.0,52800.0,4400.0,91900.0
K000382,Ann,Kuster,rep,NH,2.0,Democrat,RepAnnieKuster,New Hampshire,Ann M. Kuster (NH-2),(NH-2),22700.0,15300.0,1200.0,6800.0,1200.0,6100.0,1300.0,7400.0
L000580,Michelle,Lujan Grisham,rep,NM,1.0,Democrat,RepLujanGrisham,New Mexico,Michelle Lujan Grisham (NM-1),(NM-1),40900.0,35400.0,4200.0,14200.0,1600.0,15400.0,1700.0,5500.0
M001188,Grace,Meng,rep,NY,6.0,Democrat,RepGraceMeng,New York,Grace Meng (NY-6),(NY-6),47900.0,39600.0,7900.0,7500.0,1700.0,22400.0,5400.0,8300.0
J000294,Hakeem,Jeffries,rep,NY,8.0,Democrat,RepJeffries,New York,Hakeem S. Jeffries (NY-8),(NY-8),56100.0,48800.0,13800.0,13000.0,2900.0,19100.0,7100.0,7300.0
M001185,Sean,Maloney,rep,NY,18.0,Democrat,RepSeanMaloney,New York,Sean Patrick Maloney (NY-18),(NY-18),29200.0,25400.0,6400.0,6000.0,1300.0,11600.0,2300.0,3800.0
