state_name,rep_name,district_name,state,district,total_loss,nonelderly_subtotal,medicaid_adults,medicaid_children,medicaid_disabled,medicid_expansion,medicaid_elderly,indiv_market
Florida,Daniel Webster (FL-11),(FL-11),FL,11,67400,45400,2700,9800,1600,31300,2200,22000
Florida,Gus M. Bilirakis (FL-12),(FL-12),FL,12,65800,42700,2600,9400,1500,29200,2100,23200
Florida,Charlie Crist (FL-13),(FL-13),FL,13,63800,40200,2300,8300,1300,28200,2000,23600
Florida,Kathy Castor (FL-14),(FL-14),FL,14,71200,48900,3100,11100,1800,33000,1700,22300
Florida,Dennis A. Ross (FL-15),(FL-15),FL,15,71500,50300,3100,11300,1800,34000,1800,21200
Florida,Vern Buchanan (FL-16),(FL-16),FL,16,63700,41100,2400,8600,1400,28700,1900,22600
Florida,Thomas J. Rooney (FL-17),(FL-17),FL,17,68500,47600,2800,10100,1600,33000,2400,21000
Florida,Brian J. Mast (FL-18),(FL-18),FL,18,76300,44200,2600,9400,1500,30700,2000,32000
Florida,Francis Rooney (FL-19),(FL-19),FL,19,72500,45700,2600,9200,1500,32400,2000,26800
Florida,Alcee L. Hastings (FL-20),(FL-20),FL,20,85600,43200,2500,9000,1400,30200,2000,42400
Florida,Lois Frankel (FL-21),(FL-21),FL,21,78100,41200,2300,8300,1300,29400,1900,36900
Florida,Theodore E. Deutch (FL-22),(FL-22),FL,22,87300,43600,2600,9200,1500,30400,2000,43700
Florida,Debbie Wasserman Schultz (FL-23),(FL-23),FL,23,91300,45500,2700,9600,1500,31700,2300,45800
Florida,Frederica S. Wilson (FL-24),(FL-24),FL,24,106800,56100,3100,11200,1800,39900,4400,50700
Florida,Mario Diaz-Balart (FL-25),(FL-25),FL,25,98600,54200,3000,10800,1700,38700,3800,44400
Florida,Carlos Curbelo (FL-26),(FL-26),FL,26,104700,55400,3000,11000,1800,39600,4400,49400
Florida,Ileana Ros-Lehtinen (FL-27),(FL-27),FL,27,109100,57700,3200,11500,1800,41200,4700,51400
Georgia,"Earl L. ""Buddy"" Carter (GA-1)",(GA-1),GA,1,64800,47200,1900,10600,1800,32800,1700,17500
Georgia,"Sanford D. Bishop, Jr. (GA-2)",(GA-2),GA,2,76100,63800,2700,14500,2500,44100,2800,12300
Georgia,"A. Drew Ferguson, IV (GA-3)",(GA-3),GA,3,57900,42100,1900,10600,1800,27700,1700,15800
Georgia,"Henry C. ""Hank"" Johnson, Jr. (GA-4)",(GA-4),GA,4,78900,53900,2200,11900,2000,37900,1500,25000
Georgia,John Lewis (GA-5),(GA-5),GA,5,82300,60000,2400,12900,2200,42500,1900,22300
Georgia,Karen Handel (GA-6),(GA-6),GA,6,53600,31400,900,4800,800,24800,1000,22200
Georgia,Rob Woodall (GA-7),(GA-7),GA,7,71100,41800,1500,8100,1400,30900,1200,29300
Georgia,Austin Scott (GA-8),(GA-8),GA,8,66600,55200,2100,11600,2000,39500,2200,11400
Georgia,Doug Collins (GA-9),(GA-9),GA,9,68800,52200,2000,10700,1800,37700,2200,16600
Georgia,Jody B. Hice (GA-10),(GA-10),GA,10,59200,43200,1700,9400,1600,30500,2000,16000
Georgia,Barry Loudermilk (GA-11),(GA-11),GA,11,64900,43900,1300,7400,1300,33900,900,21000
Georgia,Rick W. Allen (GA-12),(GA-12),GA,12,72900,57500,2400,13200,2300,39600,2000,15400
Georgia,David Scott (GA-13),(GA-13),GA,13,77200,54500,2100,11700,2000,38700,1000,22700
Georgia,Tom Graves (GA-14),(GA-14),GA,14,68900,54900,2200,11800,2000,38900,2200,13900
Hawaii,Colleen Hanabusa (HI-1),(HI-1),HI,1,23000,20000,4200,5400,1200,9200,3100,3000
Hawaii,Tulsi Gabbard (HI-2),(HI-2),HI,2,35200,30500,5900,7700,1700,15200,1800,4700
Idaho,Raúl R. Labrador (ID-1),(ID-1),ID,1,72200,43900,2600,11000,1900,28400,2100,28300
Idaho,Michael K. Simpson (ID-2),(ID-2),ID,2,72500,44300,2400,10100,1700,30000,2000,28300
Illinois,Bobby L. Rush (IL-1),(IL-1),IL,1,42900,30200,5800,12400,1600,10400,3600,12700
Illinois,Robin L. Kelly (IL-2),(IL-2),IL,2,45600,33600,6700,14200,1800,10900,3300,12000
Illinois,Daniel Lipinski (IL-3),(IL-3),IL,3,38500,25800,5000,10500,1300,9000,1800,12700
Illinois,Luis V. Gutiérrez (IL-4),(IL-4),IL,4,59000,46300,7800,16500,2100,19900,2100,12800
Illinois,Mike Quigley (IL-5),(IL-5),IL,5,29500,16500,2600,5500,700,7600,2400,13000
Illinois,Peter J. Roskam (IL-6),(IL-6),IL,6,24900,10100,2100,4600,600,2900,1400,14800
Illinois,Danny K. Davis (IL-7),(IL-7),IL,7,49700,36900,6700,14200,1800,14200,3600,12800
Illinois,Raja Krishnamoorthi (IL-8),(IL-8),IL,8,37600,23800,4700,9900,1200,8000,2000,13800
Illinois,Janice D. Schakowsky (IL-9),(IL-9),IL,9,31700,18900,3200,6800,900,8100,3000,12800
Illinois,Bradley Scott Schneider (IL-10),(IL-10),IL,10,32700,18800,3700,7800,1000,6400,1700,13900
Illinois,Bill Foster (IL-11),(IL-11),IL,11,36000,22800,4300,9100,1200,8200,1100,13200
Illinois,Mike Bost (IL-12),(IL-12),IL,12,35500,26000,5200,11100,1400,8400,2500,9500
Illinois,Rodney Davis (IL-13),(IL-13),IL,13,32500,23200,4600,9800,1200,7500,1900,9400
Illinois,Randy Hultgren (IL-14),(IL-14),IL,14,27500,13800,3000,6300,800,3800,1000,13700
Illinois,John Shimkus (IL-15),(IL-15),IL,15,34700,23700,5200,10900,1400,6200,2800,11000
Illinois,Adam Kinzinger (IL-16),(IL-16),IL,16,31000,19700,4100,8700,1100,5800,2100,11300
Illinois,Cheri Bustos (IL-17),(IL-17),IL,17,40200,29600,6000,12800,1600,9100,2900,10700
Illinois,Darin LaHood (IL-18),(IL-18),IL,18,25300,15800,3500,7400,900,4000,1900,9400
Indiana,Peter J. Visclosky (IN-1),(IN-1),IN,1,29500,23300,2900,9800,1700,8900,2000,6300
Indiana,Jackie Walorski (IN-2),(IN-2),IN,2,32700,26000,2800,9600,1700,11900,1900,6800
Indiana,Jim Banks (IN-3),(IN-3),IN,3,29600,23300,2700,9000,1600,9900,1500,6300
Indiana,Todd Rokita (IN-4),(IN-4),IN,4,25200,18900,2200,7300,1300,8000,1500,6400
Indiana,Susan W. Brooks (IN-5),(IN-5),IN,5,24200,16300,1800,6200,1100,7200,1500,7900
Indiana,Luke Messer (IN-6),(IN-6),IN,6,28900,22900,2700,9100,1600,9400,2300,6100
Indiana,André Carson (IN-7),(IN-7),IN,7,46900,39600,4900,16600,3000,15100,2000,7300
Indiana,Larry Bucshon (IN-8),(IN-8),IN,8,27600,20900,2400,8200,1500,8800,2200,6700
Indiana,Trey Hollingsworth (IN-9),(IN-9),IN,9,25800,19000,2400,7900,1400,7300,1800,6700
Iowa,Rod Blum (IA-1),(IA-1),IA,1,30100,21800,4300,8400,1700,7400,2000,8300
Iowa,David Loebsack (IA-2),(IA-2),IA,2,33300,24900,4700,9200,1900,9000,2000,8400
Iowa,David Young (IA-3),(IA-3),IA,3,33500,23900,4700,9200,1900,8200,1900,9600
Iowa,Steve King (IA-4),(IA-4),IA,4,31000,23100,4200,8200,1700,9100,2000,8000
Kansas,Roger W. Marshall (KS-1),(KS-1),KS,1,46200,32800,1500,8500,1500,21200,1600,13500
Kansas,Lynn Jenkins (KS-2),(KS-2),KS,2,50300,35800,1600,8900,1600,23700,1600,14500
Kansas,Kevin Yoder (KS-3),(KS-3),KS,3,48800,28800,1300,7200,1300,19000,1300,20000
Kansas,Ron Estes (KS-4),(KS-4),KS,4,52900,38500,1800,9900,1700,25100,1600,14400
Kentucky,James Comer (KY-1),(KY-1),KY,1,40600,34700,2500,10400,3100,18700,3100,5900
Kentucky,Brett Guthrie (KY-2),(KY-2),KY,2,34700,28600,2200,9100,2700,14500,2500,6100
Kentucky,John A. Yarmuth (KY-3),(KY-3),KY,3,36400,30300,2300,9700,2800,15500,2100,6000
Kentucky,Thomas Massie (KY-4),(KY-4),KY,4,30300,24200,1900,7800,2300,12200,1900,6200
Kentucky,Harold Rogers (KY-5),(KY-5),KY,5,51100,45300,3700,15500,4600,21500,4000,5800
Kentucky,Andy Barr (KY-6),(KY-6),KY,6,38300,32200,2200,9300,2700,17900,2300,6200
Louisiana,Steve Scalise (LA-1),(LA-1),LA,1,53600,23200,4100,8700,2100,8200,3300,30400
Louisiana,Cedric L. Richmond (LA-2),(LA-2),LA,2,75600,42700,7600,16100,4000,15200,4900,32900
Louisiana,Clay Higgins (LA-3),(LA-3),LA,3,52700,30200,5300,11200,2700,11000,3600,22500
Louisiana,Mike Johnson (LA-4),(LA-4),LA,4,54600,33800,5800,12300,3000,12600,4800,20800
Louisiana,Ralph Lee Abraham (LA-5),(LA-5),LA,5,58500,35100,5900,12600,3100,13400,4600,23400
Louisiana,Garret Graves (LA-6),(LA-6),LA,6,48000,23800,4200,8800,2200,8600,2400,24200
Maine,Chellie Pingree (ME-1),(ME-1),ME,1,55900,27000,5100,7000,2100,12900,2500,28900
Maine,Bruce Poliquin (ME-2),(ME-2),ME,2,62000,35400,7300,9900,3000,15200,3900,26500
Maryland,Andy Harris (MD-1),(MD-1),MD,1,26400,19100,4600,7300,1200,6000,1500,7300
Maryland,C. A. Dutch Ruppersberger (MD-2),(MD-2),MD,2,30700,23200,5600,9000,1500,7200,1700,7400
Maryland,John P. Sarbanes (MD-3),(MD-3),MD,3,26100,18300,4100,6600,1100,6600,1700,7700
Maryland,Anthony G. Brown (MD-4),(MD-4),MD,4,32600,25000,5200,8300,1400,10200,1500,7600
Maryland,Steny H. Hoyer (MD-5),(MD-5),MD,5,22600,16300,3600,5800,900,6000,1100,6400
Maryland,John K. Delaney (MD-6),(MD-6),MD,6,27700,18600,4500,7200,1200,5700,1600,9100
Maryland,Elijah E. Cummings (MD-7),(MD-7),MD,7,36300,29200,7300,11700,1900,8200,2200,7200
Maryland,Jamie Raskin (MD-8),(MD-8),MD,8,25000,15100,3000,4900,800,6400,1500,9900
Massachusetts,Richard E. Neal (MA-1),(MA-1),MA,1,41100,38200,10300,10500,6600,10900,4300,2800
Massachusetts,James P. McGovern (MA-2),(MA-2),MA,2,32400,29600,7300,7500,4700,10100,4400,2800
Massachusetts,Niki Tsongas (MA-3),(MA-3),MA,3,37900,35100,8100,8300,5200,13500,4600,2800
Massachusetts,"Joseph P. Kennedy, III (MA-4)",(MA-4),MA,4,20300,17500,4300,4400,2700,6100,3200,2800
Massachusetts,Katherine M. Clark (MA-5),(MA-5),MA,5,22500,19600,4300,4400,2700,8300,3600,2800
Massachusetts,Seth Moulton (MA-6),(MA-6),MA,6,26300,23500,5800,5900,3700,8100,4000,2800
Massachusetts,Michael E. Capuano (MA-7),(MA-7),MA,7,49000,46200,10700,10900,6800,17800,5300,2800
Massachusetts,Stephen F. Lynch (MA-8),(MA-8),MA,8,25800,23000,6500,6600,4100,5700,4100,2800
Massachusetts,William R. Keating (MA-9),(MA-9),MA,9,30000,27100,6800,7000,4400,9000,3700,2800
Michigan,Jack Bergman (MI-1),(MI-1),MI,1,36500,25600,3400,9400,2100,10700,2900,10900
Michigan,Bill Huizenga (MI-2),(MI-2),MI,2,33900,26100,3700,10200,2200,10000,1900,7800
Michigan,Justin Amash (MI-3),(MI-3),MI,3,32700,25500,3700,10300,2200,9200,1800,7300
Michigan,John R. Moolenaar (MI-4),(MI-4),MI,4,34000,27100,3700,10400,2300,10800,2400,6900
Michigan,Daniel T. Kildee (MI-5),(MI-5),MI,5,40600,34500,5500,15400,3300,10300,2500,6100
Michigan,Fred Upton (MI-6),(MI-6),MI,6,35000,27000,3600,10100,2200,11100,2200,8000
Michigan,Tim Walberg (MI-7),(MI-7),MI,7,29600,22700,3200,9000,1900,8500,1900,6900
Michigan,Mike Bishop (MI-8),(MI-8),MI,8,26500,18000,2700,7600,1600,6000,1500,8500
Michigan,Sander M. Levin (MI-9),(MI-9),MI,9,35500,25500,3700,10500,2300,9000,2600,10000
Michigan,Paul Mitchell (MI-10),(MI-10),MI,10,31000,21500,2900,8100,1800,8700,2500,9500
Michigan,David A. Trott (MI-11),(MI-11),MI,11,20300,11700,1500,4300,900,4900,1700,8600
Michigan,Debbie Dingell (MI-12),(MI-12),MI,12,31500,24600,3600,10100,2200,8600,1800,6900
Michigan,"John Conyers, Jr. (MI-13)",(MI-13),MI,13,54400,48600,6700,18800,4100,19000,3700,5800
Michigan,Brenda L. Lawrence (MI-14),(MI-14),MI,14,47900,40300,5400,15000,3300,16600,3000,7700
Minnesota,Timothy J. Walz (MN-1),(MN-1),MN,1,26900,16800,4500,5800,1200,5300,1700,10100
Minnesota,Jason Lewis (MN-2),(MN-2),MN,2,22600,12800,3200,4100,800,4600,1500,9800
Minnesota,Erik Paulsen (MN-3),(MN-3),MN,3,21900,12100,3300,4300,900,3500,1300,9700
Minnesota,Betty McCollum (MN-4),(MN-4),MN,4,30900,21200,5600,7300,1500,6700,1800,9700
Minnesota,Keith Ellison (MN-5),(MN-5),MN,5,35700,26000,6500,8400,1700,9500,2100,9700
Minnesota,Tom Emmer (MN-6),(MN-6),MN,6,22500,12800,3700,4800,1000,3400,1400,9700
Minnesota,Collin C. Peterson (MN-7),(MN-7),MN,7,27500,17100,5000,6600,1300,4200,2800,10300
Minnesota,Richard M. Nolan (MN-8),(MN-8),MN,8,29600,18700,5300,6900,1400,5200,2600,10800
Mississippi,Trent Kelly (MS-1),(MS-1),MS,1,65500,56200,2300,13900,3200,36700,2900,9300
Mississippi,Bennie G. Thompson (MS-2),(MS-2),MS,2,82900,69600,3200,19300,4500,42600,3600,13200
Mississippi,Gregg Harper (MS-3),(MS-3),MS,3,65500,54600,2300,13500,3100,35700,3000,10900
Mississippi,Steven M. Palazzo (MS-4),(MS-4),MS,4,64100,55000,2200,13000,3000,36800,2800,9100
Missouri,Wm. Lacy Clay (MO-1),(MO-1),MO,1,74900,49100,2500,13300,3000,30200,2400,25800
Missouri,Ann Wagner (MO-2),(MO-2),MO,2,37500,13800,600,3300,700,9200,1200,23700
Missouri,Blaine Luetkemeyer (MO-3),(MO-3),MO,3,46700,27400,1300,7000,1600,17500,1600,19200
Missouri,Vicky Hartzler (MO-4),(MO-4),MO,4,61300,41300,1900,10000,2300,27100,2500,20000
Missouri,Emanuel Cleaver (MO-5),(MO-5),MO,5,71100,49000,2000,10600,2400,34000,2300,22100
Missouri,Sam Graves (MO-6),(MO-6),MO,6,50800,31400,1500,8000,1800,20000,2100,19400
Missouri,Billy Long (MO-7),(MO-7),MO,7,74400,49700,1900,9800,2200,35800,2300,24700
Missouri,Jason Smith (MO-8),(MO-8),MO,8,62900,45300,2500,13400,3000,26300,4000,17700
Montana,Greg Gianforte (MT-AL),(MT-AL),MT,0,81100,28500,2600,13000,2300,10600,1900,52700
Nebraska,Jeff Fortenberry (NE-1),(NE-1),NE,1,54900,26800,1600,6500,1200,17600,1600,28100
Nebraska,Don Bacon (NE-2),(NE-2),NE,2,53400,27400,1700,7000,1300,17500,1100,25900
Nebraska,Adrian Smith (NE-3),(NE-3),NE,3,64800,27000,1500,6500,1200,17700,1700,37900
Nevada,Dina Titus (NV-1),(NV-1),NV,1,39900,31400,2700,10100,1200,17400,1200,8600
Nevada,Mark E. Amodei (NV-2),(NV-2),NV,2,30400,20500,1800,6800,800,11100,900,10000
Nevada,Jacky Rosen (NV-3),(NV-3),NV,3,20900,12400,1100,4300,500,6500,900,8600
Nevada,Ruben J. Kihuen (NV-4),(NV-4),NV,4,31300,23000,2300,8600,1000,11100,900,8300
New Hampshire,Carol Shea-Porter (NH-1),(NH-1),NH,1,22800,14600,1200,6400,1100,5900,1100,8200
New Hampshire,Ann M. Kuster (NH-2),(NH-2),NH,2,22700,15300,1200,6800,1200,6100,1300,7400
New Jersey,Donald Norcross (NJ-1),(NJ-1),NJ,1,35700,24000,2400,10900,2200,8500,2300,11600
New Jersey,Frank A. LoBiondo (NJ-2),(NJ-2),NJ,2,39000,26900,2400,10800,2200,11600,2300,12100
New Jersey,Thomas MacArthur (NJ-3),(NJ-3),NJ,3,24900,13400,1300,6000,1200,4800,1700,11500
New Jersey,Christopher H. Smith (NJ-4),(NJ-4),NJ,4,31500,19100,1800,8200,1600,7500,1900,12400
New Jersey,Josh Gottheimer (NJ-5),(NJ-5),NJ,5,27500,12700,1000,4500,900,6300,1900,14700
New Jersey,"Frank Pallone, Jr. (NJ-6)",(NJ-6),NJ,6,33700,20500,1700,7600,1500,9800,2100,13100
New Jersey,Leonard Lance (NJ-7),(NJ-7),NJ,7,22300,9900,800,3700,700,4600,1300,12400
New Jersey,Albio Sires (NJ-8),(NJ-8),NJ,8,54800,42200,3100,14100,2800,22100,3300,12600
New Jersey,"Bill Pascrell, Jr. (NJ-9)",(NJ-9),NJ,9,47000,32700,2700,12300,2500,15200,2600,14200
New Jersey,"Donald M. Payne, Jr. (NJ-10)",(NJ-10),NJ,10,49400,37700,3300,14900,3000,16600,2700,11700
